range,cost,capacity,config
21.39222145,1733.124146,1,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------*gNL3---------------------^ab^ac^ad^ae^df^eg,1,3"
58.43989563,1771.977417,2,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------*gNL3------------^ab^ac^ad^ae^df^eg,2,3"
7.150994778,1729.908325,2,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------------*gNL3----------------------^ab^ac^ad^ae^df^eg,2,3"
5.366447926,1724.062622,2,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------------*gNL3------------------------^ab^ac^ad^ae^df^eg,2,3"
4.482973099,1718.956177,2,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------------*gNL3--------------------------^ab^ac^ad^ae^df^eg,2,3"
5.430472851,1906.215454,7,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------*gNL3----------------^ab^ac^ad^ae^df^eg,7,3"
8.669703484,1937.142944,6,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------*gNL3----------^ab^ac^ad^ae^df^eg^bf,6,3"
23.95629501,1720.18811,0,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------------*gNL3-------------------------^ab^ac^ad^ae^df^eg^bf^cg,0,3"
74.50287628,1766.704346,1,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------*gNL3-------------^ab^ac^ad^ae^df^eg^bf^cg,1,3"
14.27440453,1993.863403,6,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3--*gNL3--^ab^ac^ad^ae^df^eg^bf^cg,6,3"
10.44658089,1956.198853,6,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------*gNL3-------^ab^ac^ad^ae^df^eg^bf^cg,6,3"
9.234937668,1943.214233,6,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------*gNL3---------^ab^ac^ad^ae^df^eg^bf^cg,6,3"
