session305
Time,User,Action,Type
2020-04-08 20:32:52.341485+00:00,cmu_03,"designer;MouseClick;NoEvent;*aMM0+++++*bNM2+++*cMN2+++*dLM2+++*eML1+++*fNN2*gON0*hOM4*iOO4^ab^ac^ad^ae^cf^fg^gh^gi,5,3",client
2020-04-08 20:32:56.543668+00:00,cmu_01,can you see that? ,chat: All @32___305
2020-04-08 20:32:58.485379+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,10411,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:32:58.484253+00:00,cmu_06,planner;SelectPath;0;base,client
2020-04-08 20:32:59.263618+00:00,cmu_06,planner;ManualPathAdded;RangeTooLong,client
2020-04-08 20:33:00.460366+00:00,cmu_06,planner;ManualPathAdded;RangeTooLong,client
2020-04-08 20:33:00.593746+00:00,cmu_06,planner;ManualPathAdded;RangeTooLong,client
2020-04-08 20:33:05.604886+00:00,cmu_06,planner;ManualPathAdded;RangeTooLong,client
2020-04-08 20:33:06.174012+00:00,cmu_02,designer;LoadVehicles,client
2020-04-08 20:33:10.066462+00:00,cmu_06,planner;ManualPathAdded;RangeTooLong,client
2020-04-08 20:33:10.266617+00:00,cmu_06,planner;ManualPathAdded;RangeTooLong,client
2020-04-08 20:33:13.973269+00:00,cmu_02,designer;LoadVehicles,client
2020-04-08 20:33:14.717411+00:00,cmu_06,planner;LoadDatabase,client
2020-04-08 20:33:15.025519+00:00,cmu_06,planner;ScenarioLoaded:Scenario:250,client
2020-04-08 20:33:19.647756+00:00,cmu_02,designer;ToggleInfoPanel:True,client
2020-04-08 20:33:19.894957+00:00,cmu_06,planner;RunPathAgent,client
2020-04-08 20:33:20.046545+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,10411,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:33:20.065665+00:00,cmu_06,planner;ServerMessage; Return AI Plan : Success,client
2020-04-08 20:33:21.102028+00:00,cmu_06,planner;SelectPath;0;base,client
2020-04-08 20:33:21.119031+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,10411,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:33:21.963167+00:00,cmu_02,designer;ToggleInfoPanel:False,client
2020-04-08 20:33:22.257903+00:00,cmu_06,planner;RunPathAgent,client
2020-04-08 20:33:22.420443+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,10411,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:33:22.436328+00:00,cmu_06,planner;ServerMessage; Return AI Plan : Success,client
2020-04-08 20:33:27.327396+00:00,cmu_06,planner;SelectPath;0;base,client
2020-04-08 20:33:27.329095+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,10411,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:33:28.882181+00:00,cmu_02,designer;LoadVehicles,client
2020-04-08 20:33:29.443607+00:00,cmu_06,planner;RunPathAgent,client
2020-04-08 20:33:29.563352+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,10411,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:33:29.579748+00:00,cmu_06,planner;ServerMessage; Return AI Plan : Success,client
2020-04-08 20:33:29.909987+00:00,cmu_04,i don't see it,chat: All @32___305
2020-04-08 20:33:37.172388+00:00,cmu_exp,Are you still online?,chat: Operations Specialist 1 @38_37___305
2020-04-08 20:33:39.230823+00:00,cmu_02,i don't see it either ,chat: All @32___305
2020-04-08 20:33:48.848122+00:00,cmu_02,"designer;MouseClick;NoEvent;*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",client
2020-04-08 20:33:49.995671+00:00,cmu_02,"designer;MouseClick;NoEvent;*aMM0+++++*bNM2+++*cMN1+++*dLM2+++*eML1+++^ab^ac^ad^ae,5,3",client
2020-04-08 20:33:52.529234+00:00,cmu_01,business;SubmitScenario,client
2020-04-08 20:33:52.593670+00:00,cmu_06,planner;LoadDatabase,client
2020-04-08 20:33:52.804809+00:00,cmu_01,business;ServerMessage; Submit Scenario : Success,client
2020-04-08 20:33:52.826476+00:00,cmu_06,planner;ScenarioLoaded:Scenario:250,client
2020-04-08 20:33:55.113044+00:00,cmu_06,planner;SelectPath;2;base,client
2020-04-08 20:33:55.134324+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,10411,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:33:55.228867+00:00,cmu_04,planner;ScenarioLoaded:Scenario:251,client
2020-04-08 20:33:55.683187+00:00,cmu_06,planner;SelectPath;1;base,client
2020-04-08 20:33:55.698981+00:00,cmu_06,"planner;PathMetrics;Profit,0,OperatingCost,0,StartUpCost,10411,Number of Deliveries,0,MassDelivered,0,Parcel,0,Food,0",client
2020-04-08 20:33:57.265887+00:00,cmu_06,planner;SelectPath;0;base,client
