seq	config	result	range	capacity	cost	velocity	start	type	start_seq	start_submit
285	"*aMM0+++++*bNM2++++*cMN1++++*dLM2++++*eML1++++*fLN3*gNL3*hOM2++*iMO1++*jKM2++*kMK1++^ab^ac^ad^ae^df^fc^eg^gb^bh^ci^dj^ek,5,3"	Success	15.85361	5	4504.152	11.12851	0	Evaluate	0	0
285	"*aMM0++++++++++++++++++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL4*gLN4*hKN1*iNK2*jLO3*kOL3^ab^ac^ad^ae^ef^dg^gh^fi^gj^fk,5,3"	Success	20.74169	5	10618.8	5.922528	0	Evaluate	0	0
285	"*aMM0++++++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL4*gLN4*hKN3*iNK3^ab^ac^ad^ae^ef^dg^gh^fi,5,3"	Success	0.8447108	5	5154.468	15.73811	0	Evaluate	0	0
285	"*aMM0++++++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL4*gLN4*hKN3*iNK3*jLO3*kOL3^ab^ac^ad^ae^ef^dg^gh^fi^gj^fk,5,3"	Success	8.817009	5	5314.669	6.071237	0	Evaluate	0	0
285	"*aMM0++++++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL4*gLN4*hKN1++++*iNK2++++*jLO3*kOL3^ab^ac^ad^ae^ef^dg^gh^fi^gj^fk,5,3"	Success	1.605078	5	5702.468	8.98048	0	Evaluate	0	0
285	"*aMM0++++++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL4*gLN4*hKN1++++*iNK2++++*jLO3*kOL3^ab^ac^ad^ae^ef^dg^gh^fi^gj^fk,5,3"	Success	1.605078	5	5702.468	8.98048	0	Evaluate	0	0
285	"*aMM0++++++++*bNM2+++++*cMN1+++++*dLM2+++++*eML1+++++*fNL4*gLN4*hKN0*iNK0*jLO3*kOL3^ab^ac^ad^ae^ef^dg^gh^fi^gj^fk,5,3"	Success	24.92449	5	7954.468	8.377506	0	Evaluate	0	0
285	"*aMM0---*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,20,3"	Success	26.01028	20	6298.344	34.41558	0	Evaluate	0	0
285	"*aMM0---*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,10,3"	Success	34.65496	10	6298.344	35.3654	0	Evaluate	0	0
285	"*aMM0---*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,20,3"	Success	26.01028	20	6298.344	34.41558	0	Evaluate	0	0
286	"*aMM0---*bNM2+++*cMN1+++*dLM2+++*eML1+++*fLN0++*gNL0++*hOM1+++*iMO2+++*jMK2+++*kKM1+++^ab^ac^ad^ae^df^eg^bh^ci^ej^dk^fc^gb,64,3"	Open	11.54069	64	6298.344	28.882	1	Open	0	0
